epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1686516851186752,1.1123566389083863,0.375,0.0003,47.71690250001848,1,0
2,1.1095503270626068,1.1410377264022826,0.34375,0.0003,38.7754182999488,0,1
3,1.1136926760276158,1.0880651473999023,0.39375,0.0003,38.37565589998849,1,0
4,1.1009061088164647,1.1014274835586548,0.29375,0.0003,40.05437949998304,0,1
5,1.0990817894538243,1.097870945930481,0.325,0.0003,59.781328399898484,0,2
6,1.1029432713985443,1.1091234683990479,0.2875,0.0003,66.60653610003646,0,3
7,1.101287841796875,1.0941778898239136,0.3625,0.0003,63.02052079990972,0,4
8,1.0985693087180455,1.109056568145752,0.29375,0.0003,70.25829240004532,0,5
9,1.0960494776566823,1.0971385717391968,0.325,0.0003,68.67632089997642,0,6
10,1.0895893623431523,1.0940736055374145,0.375,0.00015,72.70673390000593,0,7
11,1.093383863568306,1.0965795040130615,0.35625,0.00015,65.75861179991625,0,8
12,1.0867028683423996,1.1409886360168457,0.33125,0.00015,67.82389390002936,0,9
13,1.0863306373357773,1.100112247467041,0.38125,0.00015,61.6930012999801,0,10
14,1.0823730776707332,1.1329217672348022,0.325,0.00015,70.02154249988962,0,11
15,1.0757841964562733,1.1264374732971192,0.29375,0.00015,70.25576720002573,0,12
16,1.0735371708869934,1.1523328065872191,0.325,7.5e-05,63.489895900012925,0,13
17,1.0731654266516368,1.190168833732605,0.3,7.5e-05,68.81091650004964,0,14
18,1.0573770503203075,1.1552108526229858,0.33125,7.5e-05,61.04742289998103,0,15
19,1.0622209658225377,1.1159778356552124,0.34375,7.5e-05,63.246963900048286,0,16
20,1.054766150812308,1.2742917776107787,0.35625,7.5e-05,74.3459101000335,0,17
21,1.0538598969578743,1.2427839756011962,0.3375,7.5e-05,95.80925030005164,0,18
22,1.0537164906660716,1.1511882066726684,0.34375,3.75e-05,74.46686719998252,0,19
23,1.0425162017345428,1.1309330463409424,0.34375,3.75e-05,143.84454439999536,0,20
