epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1270081599553425,1.1572771310806274,0.325,0.0003,69.96054869994987,1,0
2,1.0960100690523784,1.151068091392517,0.35625,0.0003,68.78099080000538,1,0
3,1.090136003990968,1.17511043548584,0.36875,0.0003,64.97908979991917,1,0
4,1.081512600183487,1.1050867557525634,0.35625,0.0003,65.31502680003177,0,1
5,1.0836028108994167,1.125730538368225,0.3875,0.0003,61.98375370004214,1,0
6,1.0665353884299595,1.131647276878357,0.40625,0.0003,59.24500250001438,1,0
7,1.0674164990584056,1.1359242916107177,0.3625,0.0003,66.66464009997435,0,1
8,1.058625005185604,1.2397971391677856,0.3375,0.0003,59.057388200075366,0,2
9,1.062951182325681,1.0946558952331542,0.39375,0.0003,63.0187195999315,0,3
10,1.0578575506806374,1.0999918222427367,0.375,0.0003,69.2289327000035,0,4
11,1.0537474403778713,1.15142982006073,0.35625,0.0003,64.59073350008111,0,5
12,1.0493820508321126,1.1405158042907715,0.325,0.0003,71.66173619998153,0,6
13,1.0472102363904316,1.1235927581787108,0.3875,0.00015,74.59403679997195,0,7
14,1.0326415126522381,1.1146261930465697,0.39375,0.00015,74.90023169992492,0,8
15,1.0304273813962936,1.115005898475647,0.4375,0.00015,65.04942729999311,1,0
16,1.0316356122493744,1.1141712665557861,0.425,0.00015,64.78378659998998,0,1
17,1.0320398310820262,1.0955645799636842,0.4,0.00015,69.44992239994463,0,2
18,1.038210431734721,1.1240143299102783,0.3375,0.00015,65.29959830001462,0,3
19,1.0146924381454785,1.3114052295684815,0.33125,0.00015,62.105307499994524,0,4
20,1.0634844998518627,1.1056936264038086,0.31875,0.00015,75.521975700045,0,5
21,1.041566828886668,1.12603862285614,0.4125,0.00015,104.77527089999057,0,6
22,1.0170228059093158,1.1264863967895509,0.39375,7.5e-05,59.73005829995964,0,7
23,1.0058179845412571,1.142907190322876,0.34375,7.5e-05,59.90480630006641,0,8
24,1.005680317680041,1.1605998516082763,0.38125,7.5e-05,76.64732780004852,0,9
25,1.0118272999922435,1.1030789852142333,0.36875,7.5e-05,70.20430750004016,0,10
26,0.9976916511853536,1.1814911365509033,0.3625,7.5e-05,68.8981740999734,0,11
27,1.0079020659128826,1.1325323581695557,0.3875,7.5e-05,68.91677639994305,0,12
28,0.9991505344708761,1.1207623720169066,0.40625,3.75e-05,67.46684689994436,0,13
29,0.9851030856370926,1.1873247623443604,0.38125,3.75e-05,64.96288729994558,0,14
30,0.990459014972051,1.1389865398406982,0.4,3.75e-05,117.3283889000304,0,15
31,0.9769602566957474,1.1387325286865235,0.3875,3.75e-05,103.95554660004564,0,16
32,0.9697240988413492,1.1271628379821776,0.39375,3.75e-05,110.48562009993475,0,17
33,0.9697287182013193,1.2779462099075318,0.3625,3.75e-05,128.8670235000318,0,18
34,0.9528559645016988,1.133573627471924,0.43125,1.875e-05,111.79984220000915,0,19
35,0.9406523257493973,1.1163675308227539,0.41875,1.875e-05,125.46336930000689,0,20
