epoch,train_loss,val_loss,val_acc,lr,epoch_seconds,is_best,no_improve_count
1,1.1561953624089558,1.080768084526062,0.40625,0.0003,48.28545900003519,1,0
2,1.120033676425616,1.1358329772949218,0.325,0.0003,44.07938550005201,0,1
3,1.111683040857315,1.1112738847732544,0.375,0.0003,39.594822100014426,0,2
4,1.1051757683356602,1.1450234413146974,0.375,0.0003,39.463520299992524,0,3
5,1.1098752121130626,1.096764612197876,0.425,0.0003,38.72729830001481,1,0
6,1.1092505753040314,1.103001070022583,0.34375,0.0003,41.15638870000839,0,1
7,1.1025899251302083,1.1435185194015502,0.375,0.0003,40.56663659994956,0,2
8,1.0949035733938217,1.1357988834381103,0.3375,0.0003,40.46798210009001,0,3
9,1.0902676681677501,1.1697398662567138,0.36875,0.0003,39.45417289994657,0,4
10,1.0907120058933895,2.474205231666565,0.375,0.0003,40.3467568999622,0,5
11,1.0968538721402485,1.2500564098358153,0.375,0.0003,37.6655846000649,0,6
12,1.087585727373759,1.0916969060897828,0.3625,0.00015,36.8643075999571,0,7
13,1.075612649321556,1.115695548057556,0.35625,0.00015,39.62687829998322,0,8
14,1.0751881698767345,1.1653590679168702,0.33125,0.00015,37.55317969992757,0,9
15,1.0723407218853633,1.1226550579071044,0.33125,0.00015,38.371148100006394,0,10
16,1.067830741405487,1.1341960430145264,0.4125,0.00015,38.988020200049505,0,11
17,1.0763606826464336,1.1720568656921386,0.33125,0.00015,36.08524100005161,0,12
18,1.067725087205569,1.1689067363739014,0.3875,7.5e-05,41.895344299962744,0,13
19,1.0589949662486713,1.201759362220764,0.3375,7.5e-05,37.46662419999484,0,14
20,1.0580176363388698,1.1253812789916993,0.33125,7.5e-05,39.7216149000451,0,15
21,1.0525216509898503,1.2826504230499267,0.35625,7.5e-05,40.658062100061215,0,16
22,1.0589394668738048,1.2325994968414307,0.3875,7.5e-05,41.91962569998577,0,17
23,1.0612280021111171,1.5824107646942138,0.35,7.5e-05,38.690916900057346,0,18
24,1.0498584310213726,1.2415594339370728,0.38125,3.75e-05,37.635539099923335,0,19
25,1.0440016736586888,1.2324721336364746,0.375,3.75e-05,40.565189699991606,0,20
